prompt,validation_response,generated_response
"Task: Convert verbose patient questions into short medical questions.

Input: Cure for hoe in lung I certainly would like to request for medical for hoe in the lung Please help all the necessary information on how to cure this hoe in lung, I have be try some medical here they are not help the situation. Please reply immediately with necessary information.
Output:",What are the treatments for water in the lung?,"What is the treatment for ""hoe in lung""?"
"Task: Convert verbose patient questions into short medical questions.

Input: Dear Sir/Madam I'm [NAME] from [LOCATION], I'm 35 years old , I'd like to ask you a Medical Question as I've got an optic nerve atrophy in my eye and i lost my vision since i was 8 years old , Now I've got one eye just , So please is there treatment for optic nerve atrophy ! Please see the attachment which is a Medical report from [LOCATION], Best Wishes [NAME]
Output:",What are the treatments for optic nerve atrophy?,What are treatments for optic nerve atrophy?
"Task: Convert verbose patient questions into short medical questions.

Input: Daily Fluid Intake What is the significance of keeping my daily fluid intake at @2 liters per day? Why that particular amount? I have been diagnosed with Congestive Heart Failure. Thanks
Output:","For Congestive Heart Failure, what is the significance of keeping my daily fluid intake at 2 liters per day?",What are the recommended fluid intake guidelines for a patient with Congestive Heart Failure?
"Task: Convert verbose patient questions into short medical questions.

Input: fibroadenomas i have a fibroadenomas? my question is it can remove without surgery? taking medicine is help to reduce or remove this? or if i didnt undergo operation it is safe? because surgery is expensive here at the philippines
Output:",Can fibroadenoma be treated without surgery?,"Here is a concise version of the original query:

Can fibroadenomas be removed without surgery, or are medicines effective in reducing/eliminating them?"
"Task: Convert verbose patient questions into short medical questions.

Input: Vitamins. Can I take zinc and zinc citrate at the same time?
Output:",Can zinc and zinc citrate be taken together?,What supplements can be taken together with thiamin and strong vitamin B?
"Task: Convert verbose patient questions into short medical questions.

Input: I just read an article submitted by you that stated your research shows that you've identified the mechanism that causes burning mouth syndrome. Also because of these findings you can find a treatment. I've had this for 15 yrs and am just holding on. When will a good treatment be available?? I belong to a group of over 500 bmsers. We're suffering terribly and were from all over the world. What would the treatment be?
Output:",What are the treatments for burning mouth syndrome?,What is the treatment availability for burning mouth syndrome?
"Task: Convert verbose patient questions into short medical questions.

Input: Epididymis. Why does it hurt when if I don't finish my ejaculation or when I use the restroom and take a stool or leave a stool which ever it is my balls sometimes hurt.
Output:",What are the causes of testicular pain?,What is the cause of pain in the epididymis during ejaculation or urination?
"Task: Convert verbose patient questions into short medical questions.

Input: My Brother named [NAME] Has Multiple tumors in brain and spine. after gone through 3 major surgeries he can not walk properly as he has 3 tumors still in brain and spine. and after surgery his right eyesight has been lost and he can not hear. Is there any research done by your sight and found medicines which can remove his remaining tumors. Please give me suggestion regarding this matter. I can provide all the necessary medical reports if you need.
Output:",What are the treatments for brain tumors and spinal tumors?,What can be done to treat remaining tumors in brain and spine?
"Task: Convert verbose patient questions into short medical questions.

Input: Inherited Ricketts Mother has inherited ricketts. Passing A child but not B child. How likely would B child pass it on their child?
Output:",What are the inheritance patterns for rickets?,"Here is a concise version of the patient's query:

How likely is it that B child will pass inherited rickets to their offspring?"
"Task: Convert verbose patient questions into short medical questions.

Input: Bleeding Gums My brother has denture the lower denture hurts his gum and it makes it bleed and his gum is sore were he has a hard time to chew anything. He needs to know what can he do for it?
Output:",What are the treatments for bleeding gums under dentures?,What can be done to stop lower denture gum irritation and bleeding?
"Task: Convert verbose patient questions into short medical questions.

Input: I have a fungal infection on my two legs which i have treated several month with Lamisil 1o/o cream ,Betamethasone-N cream and sulphur skin ointmentcream. And the drugs-: terbanfine, fuschin,ampiclus beecham vitamin ""c"" etc. But with all of these,the fungal still remain the same.pls, which strong antifungal drug or injection would you people recomend for me or what advice would you give ? Yours faithfully [NAME]
Output:",What are the treatments for severe skin fungal infections resistant to over the counter medications?,"Here is a concise question based on the patient's query:

What strong antifungal medication or treatment can I use to treat persistent fungal infection?"
"Task: Convert verbose patient questions into short medical questions.

Input: Geriatric Psychiatrists - recommendations I'm looking for a geriatric psychiatrist in the sun city west, AZ area to do an evaluation for a loved one (male) who may be suffering from depression. I'm looking for a psychiatrist that has experience working with older veterens who has a no nonsense, scientific approach.
Output:",How can I find geriatric psychiatrists in Sun City West Arizona?,"Here is a concise version of the patient's query:

Where can I find a geriatric psychiatrist with experience working with older veterans in Sun City West, AZ?"
"Task: Convert verbose patient questions into short medical questions.

Input: nutcracker patient I was diagnosed with ncs about 10 yrs ago but little was known about it at the time. They said I needed surgery but refused due to the fact I didn't have any money. It has been left untreated all this time and is feeling worse. What can I do to get help with this? I am pleading for help, thank you.
Output:",What are the treatments for nutcracker syndrome?,What are the treatment options for untreated Nutcracker Syndrome that's worsening over time?
"Task: Convert verbose patient questions into short medical questions.

Input: loss of ear pressure. Is it possible to lose ear pressure more in one ear than another and can it repair itself.
Output:",What are the causes of loss of ear pressure and can it heal itself?,"Here is the patient's verbose question converted into a short medical question:

Can one ear experience greater loss of ear pressure than the other, and can it self-repair?"
"Task: Convert verbose patient questions into short medical questions.

Input: need up todate current treatment programs for advanced cancer plus informaton for hemp oil solutons for ths cancer. pub med/ 21475304
Output:","What is the latest research on treatments for hepatocellular carcinoma, including hemp oil?","Here is a concise version of the patient's query:

What are current treatment programs for advanced cancer, including hemp oil solutions?"
"Task: Convert verbose patient questions into short medical questions.

Input: pitting edema s it normal for the skin on my legs to have pitting edema even though my legs are not swollen it is there weather they are or not. I feel like my legs are made of playdough. LOL. but seriously I have rheumatoid arthritis,vasculitis,fibromyalgia.and idiopathic urticaria.
Output:",What causes pitting edema?,"Here is the rewritten patient query in 15 words or less:

What medical conditions cause pitting edema that persists even when legs aren't swollen?"
"Task: Convert verbose patient questions into short medical questions.

Input: duchenne. My name is [NAME] from Morocco I am 27 years old. I have muscular dystrophy disease category duchenne. Are there any effective treatment for this disease
Output:",What are the treatments for duchenne muscular dystrophy?,What are effective treatments for Duchenne muscular dystrophy?
"Task: Convert verbose patient questions into short medical questions.

Input: I have to start applying ciclopirox to infected toes. I know u cannot use nail polish bit can I put a band aid on once the medication has dried?
Output:",Can i cover ciclopirox with bandaids?,Is it safe to cover treated toe area with a band aid once the medication has dried?
"Task: Convert verbose patient questions into short medical questions.

Input: cosmetic leg shortening surgery Hi, I am a tall girl(5'8""), who wants to undergo leg shortening sugery of 2 inches for cosmetic purpose. It would be good if I can get more information about it. I would like to know the cost of this surgery, the recovery time and the risks associated with it. How long should I stay in the hospital? Thanks and regards
Output:","Where can I find information on leg shortening surgery, including risks, cost, and recovery time?","Here is a concise question based on the input:

Is leg shortening surgery safe for cosmetic purposes?"
"Task: Convert verbose patient questions into short medical questions.

Input: hi my name is [NAME] I'm currently working with [LOCATION] and I was wondering I came across some of you healthy tip fliers for HIV/Aids treatment .at the moment we have a study going on that helps HIV positive transgender women into HIV quality care .so it would be great to have some more information on HIV/Aids treatment
Output:",What are the treatments for HIV/AIDS?,"Here's a concise question:

What are effective treatment options for HIV positive transgender women?"
"Task: Convert verbose patient questions into short medical questions.

Input: Azithromycin 250mg gluten Hello can you please tell me if your Azithromycin 250mg tabs are gluten free? Thank you!
Output:",What are the ingredients of Azithromycin and is it gluten free?,Is Azithromycin 250mg gluten free?
"Task: Convert verbose patient questions into short medical questions.

Input: Definitions Hi, An explaination of what is the difference between myelogenous and lymphocytic leukemia types would be helpful. Great work! Thanks
Output:",What are the differences between lymphocytic and myelogenous leukemia?,What is the difference between myelogenous and lymphocytic leukemia?
"Task: Convert verbose patient questions into short medical questions.

Input: loss of taste i have giant cell arteritis. on steroids. lost taste . is this related to the illness ( was it ever reported in GCA ? ) or side rx to prednisone. i wish a rheumatologist at NIH responds
Output:",What causes loss of taste and is it related to GCA or steroids?,"Here's a concise question:

Is loss of taste a known side effect or complication of giant cell arteritis or prednisone treatment?"
"Task: Convert verbose patient questions into short medical questions.

Input: Kidney Failures If u have a GFR of 20.16 does that mean 20 or 2 I know. U can't give advice but could u tell me what stage that might put me in
Output:",What are the stages of chronic kidney disease based on GFR results?,"Here is the concise question:

What stage of kidney failure corresponds to a GFR of 20.16?"
"Task: Convert verbose patient questions into short medical questions.

Input: How do I know if the cause why my penis didn't growth up to a normal penis size was because of IHH? And How can I have a treatment with hCG? Where Can I get the injections?
Output:",What are the tratments for small penis size and where can I get the treatments?,What is the treatment and injection protocol for idiopathic hypogonadotropic hypogonadism (IHH)?
"Task: Convert verbose patient questions into short medical questions.

Input: CRPS In stage 3 can ones bones break/fracture? For example if nerve damage is in lower leg, can the bones in the foot over time fracture/break?
Output:",Can complex regional pain syndrome cause bone fractures?,"Here is a concise version of the patient's query:

Can CRPS stage 3 lead to bone fractures?"
"Task: Convert verbose patient questions into short medical questions.

Input: Duloxetine DR 20 mg casules. I started taking Cymbalta about three months ago. I recently developed curvature of the spine. Could this curvature being caused by the Cymbalta? My pharmacist wasn't sure and suggested I contact you. Thanks!
Output:",Can Cymbalta cause curvature of the spine?,Is Cymbalta associated with curvature of the spine?
"Task: Convert verbose patient questions into short medical questions.

Input: bone marrow transplation my blood tests showing very low number of blood platelets (16,100). according to the further tests no cancerous cells, no tb, no dengu is found. but the count is drastically decreasing. now my doctors advised me for bone marrow transplant. kindly help me with proper treatment.
Output:","What causes low platelet count, and what treatments are available?",What is the best course of action regarding my low platelet count after bone marrow transplant?
"Task: Convert verbose patient questions into short medical questions.

Input: Dear Doc, I am now turning 40years in November and all my life I have desired miserably for a divine intervention to restore my smell sense so that I can fully appreciate and participate in this one life on earth. I truly wish to be a part of your research if need be because the disorder had greatly affected my life. If you already have medical drugs to cure and restore my smell sense kindly give information on how I can acquire to benefit from this. I pray that God the Creator gracefully grants me favour with this so that I can enjoy the beauty of His creation in this world, with respect to smell, before I depart to continue with Him in heaven. Cheers for now as I wait to hear from you. [NAME], Ms. Smell disorder (anosmia) patient /sufferer, writing from [LOCATION]. Cell: [CONTACT], [CONTACT].
Output:",What are the treatments for anosmia?,"Here is a concise question:

Can you recommend treatment options for anosmia (loss of smell)?"
"Task: Convert verbose patient questions into short medical questions.

Input: Tailbone trauma - aftercare I read the article, but what if the person hasn't falling or been bumped? What could cause this?
Output:",What causes tailbone injury?,"Here is a concise version of the patient's query:

What else can cause tailbone trauma if it wasn't from falling or bumping?"
"Task: Convert verbose patient questions into short medical questions.

Input: factors two and five together. My brother is getting tested for factor five because his daughter was tested and said to have factors two and five.Two is said to come from her mother. My question is if my brother has factor should I and my five children and grandchildren be tested? Thank you. [NAME]
Output:",What is the inheritance pattern of Factor five?,What's the risk of my family members inheriting factor V deficiency if my brother has it?
"Task: Convert verbose patient questions into short medical questions.

Input: DailyMed Feedback sir, HELP ME OVERCOME INCESSANT FLATULENCE I am suffering from the above for a year now. Please help me have medical solutions. Thank you
Output:",What are the treatments for flatulance?,What are the medical solutions for persistent flatulence?
"Task: Convert verbose patient questions into short medical questions.

Input: I have had Tourette syndrome since age seven. Recently at the age of 72, I had an implantation of a shunt for hydrocephalus. *What is the probability of one having both hydrocephalus and Tourette syndrome? *Is there any evidence that indicates that the head and neck tics of Tourette syndrome may be a cause of hydrocephalus?
Output:",Is there a connection between tourette syndrome and hydrocephalus?,What's the likelihood of co-occurring hydrocephalus and Tourette syndrome?
"Task: Convert verbose patient questions into short medical questions.

Input: foreskin I want to regrow my foreskin back. When will stem cell be able to regrow foreskin.
Output:",Is stem cell therapy used to regrow foreskin?,"Here's a concise version of the patient's query:

Can stem cells regrow a foreskin?"
"Task: Convert verbose patient questions into short medical questions.

Input: Hello - I suspect my son has Cushing's Syndrome. His recent U-Creatinine Excretion 24 hr urine test showed 21.6H nnol/d. The lab range for normal is 7.0-17.0. I suspect this may be the result of muscle waste. Can you please tell me what this measure means in terms of the scale of the result - what does this difference represent and what can be expected as a result. Also how can we determine whether it is muscle waste that is the issue? Please help
Output:",How do I interpret the high results of a creatinine 24 hour urine test and how is muscle waste diagnosed?,What does a 24-hour urine U-Creatinine Excretion level of 21.6H nmol/d indicate compared to normal range?
"Task: Convert verbose patient questions into short medical questions.

Input: Administration Is there a reason that the lovenox has to be given in the SQ of the abdomen? Why not other SQ sites?
Output:",Why is lovenox administered in the abdomen?,What are the reasons for administering Lovenox subcutaneously in the abdominal area only?
"Task: Convert verbose patient questions into short medical questions.

Input: Sle How much level of feritin is responsible for SLE? Adult still's disease is related with Sle? How we differ them?
Output:",How is a differential diagnosis made between SLE and adult still's disease?,What is the ferritin level that indicates Systemic Lupus Erythematosus (SLE)?
"Task: Convert verbose patient questions into short medical questions.

Input: Health innformation Please. Advise what can inhibit and disassemble genetic tau. Aggregation. I suffer from a rare tau aggregation illness called pallido ponto nigral degeneration
Output:","Where can I find information about pallido ponto nigral degeneration, including treatments?",What can inhibit and disassemble genetic tau aggregation in pallido ponto nigral degeneration?
"Task: Convert verbose patient questions into short medical questions.

Input: coal oil My father at an early age was given coal oil when he was sick with a cold or flu, my family and I are just wondering if there could have been permanent damage done to his stomach, heart, or any other internal organs. I'm not asking for a second opinion, just want some information on this matter for our own inquiries.
Output:",What are the adverse effects of coal oil?,"Here's a concise question:

Can coal oil exposure cause permanent stomach, heart, or internal organ damage?"
"Task: Convert verbose patient questions into short medical questions.

Input: Body Lice How do I get rid of these little devils? Me and My mom have tried so many things to get rid of these bugs and they just don't go away were the family that takes 2 showers and now about 3 showers a day we never understood how they could have infected us but I was just wondering is washing our clothes the best bet to get rid of these things, because apparently it hasn't worked for us. So is there any suggestions?
Output:",What are the treatments for body lice?,"Here is a concise question:

What's the best treatment to get rid of body lice?"
"Task: Convert verbose patient questions into short medical questions.

Input: Vamousse head lice treatment labe claims To the best of my knowledge, any head lice treatment that claims to ""Kill"" lice and/or eggs is considered by FDA to be a drug claim and therefore needs to contain an FDA-registered pediculicide (kills lice) or an FDA-approved ovicide (kills eggs). Otherwise the product is considered to be misbranded and a ""new drug"" requiring appropriate testing. The ""Vamousse"" head lice treatment claims ""Kills 100% lice and eggs"" and does not conform. In addition, the claim ""kills 100%"" is in violation of FTC rulings which prohibit claiming ""100%"". This company has also introduced a Head Lice Prevention product which is also in violation of FTC rulings (see FTC vs Lornamead). I think that you should research these issues and publish your findings. Thank you.
Output:",Does Vamoose head lice treatment conform to FDA and FTC labeling guidelines?,What are the regulatory issues with Vamousse head lice treatment?
"Task: Convert verbose patient questions into short medical questions.

Input: Periventricular Heterotopia. Scoliosis - possibility of a known link ? Question in laymen terms: Has any genetic or other correlation ever been made between these two diagnosis? My 59 y.o. sister has a diagnosis of Periventricular Heterotopia. Her 30 y.o. daughter has been suffering with same for last 15 years. Her 37 Y.O. daughter is clinically full-care retarded (since infancy) and has severe idiopathic scoliosis. I have severe idiopathic scoliosis. I use the term ""severe"" to express debilitating and multiple fusion surgeries. All four of my generation female siblings have a level of scoliosis. FYI: this PH sister died last week, her remains are at the [LOCATION]
Output:",Is there a link between periventricular heterotopia and scoliosis?,"Here is a concise version of the patient's query:

Is there a known link between Periventricular Heterotopia and scoliosis?"
"Task: Convert verbose patient questions into short medical questions.

Input: ClinicalTrials.gov - Question - general information A friend had chemo for breast cancer. She has developed a foam in her mouth that appears to come from her gums. She has been to every doctor, but no one can diagnose. She has tried everything recommended and nothing seems to work. She has gone into a deep depresstion because of this constant foam. Would there be any studies available? Could someone give an idea of what could be causing this problem in her mouth? Is there any interest of looking into her case? Thank you.
Output:",What causes foamy saliva?,What could be causing persistent foam in her mouth that no other doctor has diagnosed?
"Task: Convert verbose patient questions into short medical questions.

Input: Whipple's Disease Your information about Whipple's Disease says that it is fatal if left untreated, but there is no information about HOW LONG a person can have it. I have been sick for 6 years and am having no luck getting a diagnosis, and it would be most helpful in ruling things out if I knew whether or not a particular illness would kill a person within a shorter time period than 6 years. Thank you.
Output:",What are the diagnosis of and prognosis for Whipple's Disease?,What is the average survival time without treatment for Whipple's Disease?
"Task: Convert verbose patient questions into short medical questions.

Input: I have undergone Total Hip Replacement of both my hip jonts in 1977 (Charnley Process ) My left joint is completely worn out.How safe and effective is revision surgery..can I get a cementless joint..I am 66 years old..An early repy to my query will be very much appreciated.
Output:","Where can I find information on hip revision surgery, including risks and prognosis?","Here is the concise question:

Can revision surgery be safe and effective for cementless joint implantation at 66 years old?"
"Task: Convert verbose patient questions into short medical questions.

Input: Is Balsalazide a steroid? Is Balsalazide a steroid? I have been on it doe close to 2 years now, your information states 6-8 weeks. Will this do any damage to my other organs? Was on Asacol prier to Balsalazide 750mg each X9 per day. Is this safe? I cannot seem to lose any weight no matter how much I try. I exercise 5-6 days a week for 30 minutes, watch what I eat.
Output:","Where can I find information on balsalazide, including dosage, side effects, and drug class?","Here's a concise version of the patient's query:

Will Balsalazide damage other organs after long-term use?"
"Task: Convert verbose patient questions into short medical questions.

Input: Rehabbing a finger that was splinted I badlydislocated my finger 7 weeks ago. I reset it myself as it happened late in the evening. I splinted it myself with a store-bought splint because of concern for a break as well as ligament damage. I just went to see an orthopedic doctor for the first time today (yes, I'm kicking myself for not going earlier). The X-ray showed that the finger is still offset somewhat, perhaps indicating that some of the ligaments were ruptured. (The bone was ok. I guess we won't know if it was ever broken.) Nonetheless, I have to see a surgeon for an opinion in a few days. Meanwhile, there is still some swelling and the ring finger that was in the splint is out but stiff as a board. I'm concerned and not sure what possibilities to expect. I certainly know you won't know what the situation is or what the surgeon will say but I was curious (a) what possibilities I might expect and (b) how problematic it is that the finger is so stiff...should I expect to regain motion...can it be rehabbed? I'm assuming so, and if so, how long does it take to regain motion from a finger that has been splinted for so long?
Output:",What are the treatments and prognosis for a dislocated finger not initially treated?,What are the possible outcomes and treatment options for a badly dislocated finger that was splinted incorrectly?
"Task: Convert verbose patient questions into short medical questions.

Input: vagual nerve stimulation and depression. have suffered for many years complicated by frequent migraines and little help from meds like to learn more about vagual nerve stimulation
Output:",Where can I find information on vagus nerve stimulation for the treatment of depression and migraines?,"Here is the revised query:

Is Vagus Nerve Stimulation effective in treating depression with migraines?"
"Task: Convert verbose patient questions into short medical questions.

Input: Good evening. My name is [NAME] , I am from Bosnia and Herzegovina. I'm 18 years old. I wear a cochlear implant ,hearing aid, for 14 years. I wear it because have totally lost ability to hear. When i was eleven months old I had a fever therefor I used garamycin , but the doctors gave me too much of it so they burned my hearing nerve. I would like to know if there is any way to give me back my hearing ability without using any kind of help? Yours faithfuly , [NAME].
Output:",What are the treatments for deafness caused by gentamicin?,"Here is a concise version of the patient's query:

Can a damaged hearing nerve regenerate and restore natural hearing ability?"
"Task: Convert verbose patient questions into short medical questions.

Input: Name: [NAME] Date and Time of Contact: Thu, 1 Jan 2015 16:10:06 GMT Application: myncbi SessionId: CE9069DE4A56A0A1_0093SID MyNCBI UserName: Host: portal205 Snapshot: /projects/MyNCBI/myncbiPortal@2.45 Browser's user agent header: Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2) Application Page Generation Time: 2015-01-01T11:03:27-05:00 Page: recentactivity Message Body: We live in [LOCATION] and my husband has been detected an insulinoma.Need further information on the matter as doctors have not seen one here. Greatly appreciate your reply. Happy New Year to you all and many many tahanks for your help.
Output:",Where can I find information on insulinoma?,"Here's a concise medical question:

What are the common complications of insulinoma and where can I find local specialists?"
"Task: Convert verbose patient questions into short medical questions.

Input: Hi, I'm looking to purchase Epidermal Growth Factor to use topically in skin care creams. Do you sell it and if so how can I learn about this? If you don't can you give any suggestions of who might? Any information you can provide would be greatly appreciated. THNAK YOU! [NAME]
Output:",Where can I buy Epidermal Growth Factor cream?,"What topical creams with Epidermal Growth Factor (EGF) are available, and where can I buy them?"
"Task: Convert verbose patient questions into short medical questions.

Input: ClinicalTrials.gov - Question - general information. my name is [NAME] from [LOCATION],my 10year old boy has duchenne muscular dystrophy patient. my question is what is exon skipping & it can help for dmd patient ?
Output:","What is exon skipping, and is it an effective treatment for duchenne muscular dystrophy?","Here is the concise medical question:

What are treatment options for Duchenne muscular dystrophy patients through exon skipping?"
"Task: Convert verbose patient questions into short medical questions.

Input: garcinia Cambodia. In the USA and elsewhere, plenty of Adds promoting the extract of this plant(Garcinia cambodia)to fight obesity. Any reliable information on this claim will be appreciated
Output:",Does Garcinia Cambogia help weight loss?,"Here is a concise medical question in 15 words or less:

What treatments can help reduce an obese belly?"
"Task: Convert verbose patient questions into short medical questions.

Input: ClinicalTrials.gov - Question - general information. I have returned from Nigeria. While there, I found out that a relative of mine has an outgrowth that has covered half his face, thus blinding him on one eye. The outgrowth is about the size of three baseballs. What can you do to help him? [NAME], [CONTACT]
Output:","What are the treatments for facial tumors, and how can I find physician(s) who specialize in it in Nigeria?",What medical condition could be causing an outgrowth covering half of a relative's face and blindness in one eye?
"Task: Convert verbose patient questions into short medical questions.

Input: Tetanus immunity How long after Tetanus vaccine administration does a patient have immunity? I have not been able to find this information on CDC site.
Output:",How long does the tetanus vaccine last?,How long after Tetanus vaccination is immunity established?
"Task: Convert verbose patient questions into short medical questions.

Input: My father has undergone braincancer operation and radiation Also.His left side hand and leg is very weak he cant hold a glass nor he cant walk .if he try to walk he falls down.pls suggest treatment for hand and his leg.we will d very gratefull for u.contact [CONTACT] from [LOCATION] u.
Output:",What are treatment options for recovery of limb use after a brain cancer operation?,What is the treatment for weakness in hands and legs after brain cancer surgery?
"Task: Convert verbose patient questions into short medical questions.

Input: RE: RX I am taking Metafolic Plus caplet I know this helps memory of the brain. What else does it help the brain with?
Output:",What remedies improve memory?,What other benefits does Metafolic Plus provide for brain health beyond memory improvement?
"Task: Convert verbose patient questions into short medical questions.

Input: Would appreciate any good info on Lewy Body Dementia, we need to get people aware of this dreadful disease, all they talk about is alzheimers. Thank you
Output:",Where can I find information on lewy body dementia?,What is the current understanding and treatment options for Lewy Body Dementia?
"Task: Convert verbose patient questions into short medical questions.

Input: still very sore under my middle rib cage and little swollen any suggestions for this discomfort ? sore and swollen from auto accident was wearing seat belt.
Output:",What are the treatments for rib pain and swelling after car accident?,What are the possible causes of rib cage soreness and swelling after an auto accident?
"Task: Convert verbose patient questions into short medical questions.

Input: My Aunt is on the following meds and is having pain not relieved by Tylenol. Could she take Motrin along with these meds. Aggrenox 25-200 Amlodipine 10 mg Simvastatin 20 levothyroxine 50 Mcg Oxybutynin.carb/comevo Sertraline
Output:",What drugs can interact with Motrin?,Can I add Motrin to my Aunt's current medication list?
"Task: Convert verbose patient questions into short medical questions.

Input: please can chronic myeloid leukemia (CML) be cure completely. waiting for your response. thanks
Output:",What are the treatments for chronic myeloid leukemia?,"Here is a concise version of the patient's query:

Can CML be completely cured?"
"Task: Convert verbose patient questions into short medical questions.

Input: ClinicalTrials.gov - Question - general information Dear Sir My name is [NAME] age 44 yers old I approaching you with much hope after reading the news online about breakthrough in Thalassamia major treatment. I have one son name [NAME] Date of birth [DATE].Now 5 year 2 month. As per his reports attached and analysis of my report and My wife's ( [NAME]) report [NAME] Hematologist ( [LOCATION] ) My Son [NAME] is Thalassamic Intermedia . whene we Report at 2015 shows Hb only 4 we had blood transfusion done at Djibouti. Doctor here said the Hb level cme down due to spleen enlargemnt which was due to some infection in body. So doctor here prescribed Antibiotic for 7 days.After having anti biotics The fever came down and now My son is ok .Even though I need a permanent solution treatment fo my son by Lentin Globin B305 drug I request you to mail me possible solution permanent treatment
Output:",What are the latest treatments for Thalassamic Intermedia?,"Here is a concise question of 15 words or less:

What are treatment options for my 5-year-old son with Thalassemia Intermediate?"
"Task: Convert verbose patient questions into short medical questions.

Input: ClinicalTrials.gov - Question - general information Stiff person Syndrome. Please can you tell me what are the early symptoms I have severe cramps in my feet which are twisting into an arc,muscle spasms slowly getting worse and my muscles particularly in my legs are cramping like someone has pushed a knitting needle into them. Started off at night but now happening through the day my back and neck and voice box are also effected and my chest area has now seized to the point of restricting my breathing to very shallow at times I find that I am stretching out involuntarily right through my body and this is becoming more frequent
Output:",What are the early symptoms of Stiff person Syndrome?,"What are the early symptoms of Stiff Person Syndrome, including cramping and muscle spasms?"
"Task: Convert verbose patient questions into short medical questions.

Input: ClinicalTrials.gov - Question - specific study. I WOULD LIKE TO SEE STUDY OF -5P CHROMOSOME SYNDROME, WHAT IS THE ORIGEN, TREATMENT
Output:",What causes the 5p chromosome syndrome and what are the treatments?,What is the origin and treatment of -5P chromosome syndrome?
